Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,group,complex,dispStage,selfOut,dispersion,trophicLevel,maxSize
Chonaphe armataE,-116.540278,47.023611,55,7037,257,-84,341,858,39,107,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.526389,47.026667,48,7024,249,-92,341,881,38,111,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.526389,47.026667,48,7024,249,-92,341,881,38,111,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.526389,47.026667,48,7024,249,-92,341,881,38,111,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.526389,47.026667,48,7024,249,-92,341,881,38,111,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.514167,47.154167,74,7231,279,-64,343,804,40,100,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.514167,47.154167,74,7231,279,-64,343,804,40,100,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.448611,46.843056,69,7165,274,-73,347,818,38,103,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.448611,46.843056,69,7165,274,-73,347,818,38,103,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.448611,46.843056,69,7165,274,-73,347,818,38,103,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.448611,46.843056,69,7165,274,-73,347,818,38,103,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.4425,46.644722,74,7179,278,-67,345,741,33,99,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.41,47.005278,51,7097,254,-90,344,906,39,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.41,47.005278,51,7097,254,-90,344,906,39,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.41,47.005278,51,7097,254,-90,344,906,39,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.41,47.005278,51,7097,254,-90,344,906,39,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.3144,47.314,85,7495,294,-55,349,797,39,101,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.3144,47.314,85,7495,294,-55,349,797,39,101,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.189722,46.828056,64,7295,271,-82,353,928,40,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.189722,46.828056,64,7295,271,-82,353,928,40,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.189722,46.828056,64,7295,271,-82,353,928,40,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.189722,46.828056,64,7295,271,-82,353,928,40,113,Arthopod,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-123.742,45.48,90,3757,208,4,204,2480,65,153,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-123.1925,44.2435,115,5244,276,11,265,1140,67,69,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-123.1925,44.2435,115,5244,276,11,265,1140,67,69,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-123.1925,44.2435,115,5244,276,11,265,1140,67,69,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-122.2304,44.243,90,5825,270,-24,294,1924,63,121,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-122.2304,44.243,90,5825,270,-24,294,1924,63,121,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-122.1603,44.2427,66,5857,243,-50,293,1835,65,120,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-122.1534,44.1934,73,5945,254,-44,298,1750,65,114,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-122.1534,44.1934,73,5945,254,-44,298,1750,65,114,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-122.1528,44.2439,67,5880,245,-48,293,1817,65,119,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-121.075833,47.060278,23,6216,173,-87,260,1803,60,149,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.756667,47.8525,43,7178,226,-93,319,1155,67,94,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.756667,47.8525,43,7178,226,-93,319,1155,67,94,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.756667,47.8525,43,7178,226,-93,319,1155,67,94,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.756667,47.8525,43,7178,226,-93,319,1155,67,94,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.756667,47.8525,43,7178,226,-93,319,1155,67,94,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.756667,47.8525,43,7178,226,-93,319,1155,67,94,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.756667,47.8525,43,7178,226,-93,319,1155,67,94,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.550833,47.73,58,7687,256,-91,347,720,67,63,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.550833,47.73,58,7687,256,-91,347,720,67,63,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataW,-120.550833,47.73,58,7687,256,-91,347,720,67,63,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-116.8025,47.608056,85,7463,288,-55,343,649,38,85,Arthopod,NC,Conaphe.armataEW,adult,out/self,self,herbivore,6
Chonaphe armataE,-116.8025,47.608056,85,7463,288,-55,343,649,38,85,Arthopod,NC,Conaphe.armataEW,adult,out/self,self,herbivore,6
Chonaphe armataE,-116.8025,47.608056,85,7463,288,-55,343,649,38,85,Arthopod,NC,Conaphe.armataEW,adult,out/self,self,herbivore,6
Microtus richardsoniE,-118.4333,52.1167,43,8837,242,-137,379,779,23,135,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.4333,52.1167,43,8837,242,-137,379,779,23,135,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.4086,44.2483,38,7484,259,-131,390,444,34,65,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-118.4086,44.2483,38,7484,259,-131,390,444,34,65,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
