Species,n.gps,abs_max_lat,abs_min_lat,length_lat,median_lon,median_lat,area,bio1m,bio1sd,bio2m,bio2sd,bio3m,bio3sd,bio4m,bio4sd,bio5m,bio5sd,bio6m,bio6sd,bio7m,bio7sd,bio8m,bio8sd,bio9m,bio9sd,bio10m,bio10sd,bio11m,bio11sd,bio12m,bio12sd,bio13m,bio13sd,bio14m,bio14sd,bio15m,bio15sd,bio16m,bio16sd,bio17m,bio17sd,bio18m,bio18sd,bio19m,bio19sd,elevm,elevsd,continents,dist,Red.List.status
Abies bracteata,93,49.25,35.626,13.624,-121.5213,36.193889,1.15E+12,110.7311828,14.05589756,141.1612903,13.12091785,56.92473118,4.561742037,3836.741935,733.9659674,252.1827957,17.94129693,5.010752688,17.80601671,247.172043,27.34188682,71.34408602,20.18420316,156.5268817,20.77602684,163.7204301,12.71969168,68.74193548,17.73776567,763.1290323,171.1135033,143.1505376,28.79158476,2.35483871,4.348025942,86.23655914,6.035038722,394.9677419,81.44742925,10.53763441,15.97726587,18.83870968,19.51214244,373.2688172,77.04983421,96.66666667,64.1191712,North America,endemic,NT
Acorus calamus,341,64.88,30.74278,34.13722,-80.023384,43.645833,1.26E+13,76.89349112,40.76967824,114.5532544,13.71991355,28.88461538,4.555786746,9735.5,1569.668572,273.239645,31.65727019,-121.3964497,63.6384184,394.6360947,49.042168,135.8579882,81.79436443,-4.059171598,94.38300054,197.4053254,31.38094975,-53.63905325,58.9233764,948.6804734,248.0804616,108.0029586,23.48577428,52.60059172,25.36025769,25.46745562,17.56836093,302.8372781,64.94901105,173.9319527,77.94731986,268.612426,54.63616447,199.9467456,100.9268184,144.170088,62.84079171,"Africa,Asia,Australia,North America,NA",global,LC
Acrostichum aureum,69,38.614167,15.210833,23.403334,-94.11555,18.5,1.87E+12,255.5441176,18.73016071,102.1323529,14.62762099,62.22058824,8.120079384,2074.308824,1037.716857,336.5882353,11.29289209,171.9411765,33.2188053,164.6470588,30.54224611,269.8676471,10.45374233,246.4264706,35.80432567,277.3235294,9.10706004,225.7794118,31.86391099,1853.852941,791.7225555,345.6470588,136.803243,31.01470588,17.34160096,71.42647059,19.72521394,901.4852941,376.9138028,117.0588235,64.47859354,507.8382353,212.3481097,237.1617647,157.3929023,152.0724638,85.29021716,"Africa,Europe,NA,Asia,Australia,South America and the Caribbean,North America",global,LC
Acrostichum danaeifolium,171,38.8881,15.205556,23.682544,-92.456361,18.607944,1.52E+12,255.1411765,17.69174109,106.4647059,14.25471753,62.83529412,6.816872661,2143.064706,891.2164424,337.1117647,12.15551996,167.2294118,32.05838359,169.8823529,28.82713702,270.0941176,10.37934171,246.9941176,34.12117236,277.4352941,10.33743935,224.5235294,28.08170727,1492.735294,509.5981308,269.8764706,89.05946441,31.3,16.20572256,66.32352941,18.8894645,696.9705882,229.7366753,115.1705882,57.42172717,393.9823529,129.3692241,203.7823529,115.4941262,126.9298246,46.64352662,"South America and the Caribbean,North America,NA,Europe",global,LC
Aeschynomene indica,46,38.913611,16.241038,22.672573,-91.9106805,28.988929,2.30E+12,207.1956522,43.11360681,121.1956522,16.76321312,49.93478261,14.18669513,4828.73913,2731.673117,330.9347826,14.6960345,71.7826087,79.79331998,259.1521739,76.12007105,235.4565217,56.14691305,195.3695652,57.04203467,265.0434783,20.42869063,141.5652174,77.42513292,1322.282609,269.4008713,219.9565217,94.52711698,45.43478261,31.93789263,54.80434783,40.31411088,578.0434783,223.6294511,163.3478261,111.4032151,423.0217391,200.9390719,215.3043478,137.4051381,146.8913043,58.07513458,"Africa,NA,Asia,Australia,South America and the Caribbean,North America",global,LC
Agrostis aequivalvis,55,65,37,28,-133.35,55.53,9.72E+11,44.39622642,38.36832609,77.90566038,22.77166268,32.49056604,4.379245815,5680.245283,1914.160831,173.7735849,43.8654593,-64.67924528,61.13722698,238.4528302,70.12038166,27.32075472,41.25752779,80.20754717,63.61765554,119.1509434,33.3468925,-23.94339623,54.28181984,1876.924528,795.3014148,274.2830189,119.3255691,72.45283019,37.76117564,42.05660377,11.50320205,739.1509434,318.4964313,251.6226415,124.5231252,329.4528302,176.3013772,575.7358491,282.9297379,125,101.130279,"North America,NA",global,LC
Agrostis perennans,622,54,15.419722,38.580278,-79.3916665,39.014425,1.13E+13,110.3913043,40.48113685,120.0032206,17.89251031,38.71175523,15.00717055,7366.697262,3021.333447,276.3993559,37.92490372,-55.95169082,68.14946277,332.3510467,76.70045918,140.4847021,75.256498,51.41062802,89.34339597,202.1481481,37.53760202,11.9468599,70.65047139,1141.47343,259.9339271,144.52657,67.95117806,58.31239936,27.6203348,30.73429952,29.63844385,396.7648953,169.0534353,192.5603865,86.56370939,304.3929147,73.57620724,216.9549114,101.5635884,152.3553055,72.88996933,"Asia,South America and the Caribbean,North America,NA",global,LC
Alisma triviale,531,64.88,32.05,32.83,-99.6221,43.54567,9.80E+12,81.52354049,44.62088638,127.7532957,21.30827998,33.65725047,9.623440289,9183.003766,2777.004662,282.9359699,32.51373652,-108.8719397,87.33882506,391.8079096,79.76953131,124.7608286,72.96482256,22.96233522,131.194521,196.5423729,26.81269048,-39.74011299,80.63280544,731.5310734,334.6599464,104.6195857,44.03890125,27.30696798,28.15385507,47.8700565,25.78115569,286.6741996,122.6372672,95.08474576,88.60087723,180.2467043,101.0717164,191.3032015,163.2102139,138.0583804,65.52178365,"Africa,North America,South America and the Caribbean",global,LC
Alnus oblongifolia,38,36.982496,19.598333,17.384163,-108.4131265,28.437917,8.87E+11,153.4736842,31.26239157,170.1052632,14.58208726,53.34210526,6.03268716,5338.736842,1388.202253,315.0526316,31.65519245,-4.078947368,36.92972258,319.1315789,38.42378982,209.5789474,41.50912083,160.4473684,32.43929663,220.5263158,31.32026099,85.73684211,38.55545968,701.4736842,261.5493067,173.7894737,78.81458155,8.447368421,3.42248028,86.89473684,23.17826274,422.2894737,195.0535488,39.02631579,13.09525774,368.8947368,187.0312576,112.6578947,45.16233561,122.0526316,48.32432512,"South America and the Caribbean,North America",global,LC
Alopecurus aequalis,997,67.38304758,20.05,47.33304758,-117.6375,42.498611,1.71E+13,51.32597793,48.02606656,133.6419258,27.23000293,36.43029087,9.871687092,8439.71013,2795.54027,251.8014042,41.98272113,-123.8585757,85.39286166,375.6599799,73.82955333,70.32698094,78.0192503,47.76730191,118.4440712,158.9237713,33.43398769,-55.95486459,80.9435011,679.5055165,362.4821159,104.0802407,60.62667694,20.25777332,19.64628868,49.60581745,21.27681597,284.8816449,166.0390856,75.01805416,61.72917982,135.4794383,94.70352612,220.777332,182.780627,135.8355065,61.09986742,"Africa,Europe,Asia,NA,Australia,South America and the Caribbean,North America",global,LC
Alopecurus carolinianus,301,50.133333,30.2644,19.868933,-95.12322,38.666668,7.33E+12,132.2766667,32.09351077,131.7366667,13.47364536,36.26666667,7.073589928,8274.916667,1759.301626,320.11,25.92434129,-46.53666667,54.45315242,366.6466667,49.97298758,152.2766667,74.73077737,92.80666667,113.067902,235.9633333,27.01842532,22.70666667,50.43012937,895.1266667,311.8003134,121.4966667,33.17345701,33.44666667,27.93914473,44.51,25.35427705,327.85,85.19872991,119.34,92.66047853,218.7933333,131.5809603,217.02,131.0173963,133.076412,55.41134789,"North America,NA",global,LC
Alopecurus magellanicus,184,71.2421,38,33.2421,-145.1230858,63.1733335,1.33E+13,-41.33149171,66.61531816,96.64088398,30.29078128,25.13812155,9.054632627,10511.72376,3052.336409,163.0165746,53.64932175,-227.4254144,97.94914335,390.441989,85.8870266,68.53038674,48.58400988,-112.6132597,109.9456666,94.86187845,39.74470943,-169.359116,97.60269969,449.359116,292.0032121,74.03314917,41.3592527,19.33149171,17.09322648,52.46961326,19.85070428,187.5524862,108.1086067,65.62430939,57.18150697,153.6464088,73.70599893,88.14364641,99.8782666,125.4456522,73.01610933,"Europe,North America,South America and the Caribbean",global,LC
Amaranthus tuberculatus,468,47.37194,26.33,21.04194,-95.231427,38.8683895,5.35E+12,120.784188,23.9506632,127.8760684,13.99914436,31.27991453,3.44809515,9622.461538,844.6926285,319.3162393,19.47299215,-83.81837607,33.97831409,403.1346154,28.2391333,207.1923077,35.14877198,-0.478632479,56.53947828,240.7115385,17.33101697,-8.666666667,34.35667557,888.8739316,201.2465732,115.4594017,19.78298907,32.51709402,19.04412004,38.55555556,14.78203925,314.6581197,47.09299423,115.6474359,65.26964047,290.9978632,43.74593277,120.0555556,76.42679323,142.5512821,37.62993959,North America,endemic,LC
Ammannia auriculata,69,39.01666,15.83,23.18666,-96.588056,19.785,2.22E+12,221.173913,54.07482738,127.0144928,20.69135423,55.7826087,13.45894582,3902.188406,3176.237754,341.8115942,21.07847757,95.42028986,99.70963813,246.3913043,95.04584302,254.5362319,24.68780344,182.5507246,101.9847936,267.5797101,22.72431051,167.9130435,94.1353436,1015.753623,277.4173648,202.4202899,66.55877672,16.72463768,15.14817409,79.11594203,26.08105929,533.2463768,167.5659138,59.33333333,47.84462188,304.2318841,103.404566,81.66666667,71.16502501,148.3333333,68.45923361,"Africa,Asia,Europe,Australia,South America and the Caribbean,North America,NA",global,LC
Ammannia robusta,277,45.91,15.82,30.09,-98.65556,38.676945,7.06E+12,153.6028881,47.06803269,136.33213,19.10245489,40.76534296,11.40044292,7498.350181,2749.003876,333.3754513,24.15986559,-17.28880866,85.90222145,350.6642599,82.1312968,187.4873646,71.48084789,106.6895307,122.3367487,248.0685921,24.15077164,55.14079422,81.05932496,707.1805054,339.6776124,116.6101083,57.00241197,15.07942238,14.86658698,61.61732852,23.0183793,308.7400722,150.0554159,56.75451264,51.1653793,202.8050542,141.8265867,132.7833935,112.3061777,142.1119134,54.40080491,"South America and the Caribbean,North America",global,LC
Amphiscirpus nevadensis,122,53.299432,19.491667,33.807765,-118.93265,41.7729,4.73E+12,79.55371901,35.36334034,154.3719008,19.04474216,40.34710744,8.350360016,7955.289256,1970.520229,289.661157,32.2520164,-96,59.0196295,385.661157,46.03414561,59.69421488,80.62659228,110.3966942,105.3921628,182,29.52004968,-21.90082645,57.13002785,341.7520661,109.3158483,54.02479339,21.89005208,9.917355372,4.247718558,49.48760331,16.00891195,147.8181818,61.52763607,37.23140496,13.43922141,81.91735537,67.68968247,100.2066116,58.9578829,152.2786885,39.37828035,"North America,South America and the Caribbean",global,LC
Andropogon virginicus,468,43.00027,16.075,26.92527,-92.529639,38.19377312,7.22E+12,154.0961538,41.90589726,126.0405983,16.63464488,41.60042735,10.82884956,6660.273504,2371.310211,315.0918803,29.82630118,0.425213675,68.33032225,314.6666667,67.41758392,162.0940171,80.00757276,133.957265,97.71278483,237.0811966,29.61844854,66.37393162,67.19930346,1108.433761,359.2563427,161.3653846,68.21477794,41.76068376,31.35775458,46.36111111,30.72548804,430.5064103,181.4206664,145.3333333,102.1249183,281.1111111,183.3574003,263.4636752,144.2644222,131.0876068,71.15882962,"Asia,NA,Australia,South America and the Caribbean,North America",global,LC
Aniseia martinicensis,54,25.4383,14.919722,10.518578,-92.011389,18.347125,6.58E+11,262.4150943,8.841410352,105.9622642,8.984949519,63.20754717,4.77315607,1944.849057,379.0184386,344.1132075,8.889623115,177.5283019,14.76039891,166.5849057,13.28740578,273.3207547,7.958482618,259.2641509,14.38769632,282.3962264,7.430031635,234.3396226,12.54521575,1580.113208,424.059487,286.3773585,60.92941263,32.35849057,19.30234575,68.94339623,18.87959327,748,149.61052,116.7358491,67.28760057,384.2641509,129.3063076,205.2641509,132.0920645,129.6481481,60.91384494,"Africa,NA,Asia,Australia,South America and the Caribbean,North America,Europe",global,LC
Arctophila fulva,266,72.108,55.269394,16.838606,-144.7663334,66.033,5.07E+12,-74.99239544,46.80493812,88.81368821,17.34779731,19.74144487,4.151895663,13009.78707,2563.242514,159.7148289,35.14004763,-288.0418251,76.54337043,447.756654,80.13763032,78.81368821,30.62515747,-169.1026616,98.30883391,93.64638783,29.52939499,-233.2889734,71.77732844,343.8212928,308.2759409,60.49429658,42.20206488,12.93155894,15.10759983,56.82889734,11.91434128,152.8098859,111.2651824,45.1634981,52.88125722,134.095057,74.12627517,56.37642586,78.01354682,127.3646617,74.77633638,"Europe,North America,NA",global,LC
Arctostaphylos catalinae,30,35.429167,33.32,2.109167,-118.436661,33.3475225,3272915787,159.0333333,3.232201485,78.96666667,10.13863669,46.9,2.482351499,3238.1,895.6302481,249.9333333,21.85206269,81.66666667,13.38381249,168.2666667,35.05260415,133.4333333,8.576967285,190.7,2.984442419,204.6,13.70275583,125.0333333,9.771469142,296.0333333,26.85270594,59.63333333,7.703484806,0.1,0.547722558,91.26666667,9.161137308,169.2333333,23.27301728,3.5,2.738612788,7.166666667,7.913686674,132.3666667,15.92110578,30.43333333,70.13714808,North America,endemic,VU
Ariocarpus fissuratus,32,30,22.68346777,7.316532231,-103.072841,26.9281915,2.83E+11,200.0625,12.07219546,161.53125,15.74388642,50.59375,5.569846092,5660.375,1023.674556,348.28125,16.20878769,31.1875,17.41419054,317.09375,25.78741801,254.40625,16.04602126,149.03125,30.31073947,266.28125,16.73943456,122.65625,19.21459354,317.90625,88.25014279,63.21875,17.77227702,5.90625,4.074779828,72.6875,17.80619229,166.5625,48.33881597,24.5,14.07353957,135.8125,41.35950762,30.78125,12.6611786,147.71875,55.48916452,"South America and the Caribbean,North America",global,LC
Aristida purpurea,681,49.37745,16.68520531,32.69224469,-103.1625,32.745356,5.24E+12,167.5426471,47.55477058,151.5176471,18.08480221,46.84558824,7.809098085,6249.058824,1944.137035,333.5073529,32.77099465,5.342647059,67.20659423,328.1647059,63.32181118,200.7691176,70.15561024,130.1455882,83.05902746,246.0470588,36.93321789,86.76029412,63.20311051,440.6235294,205.4566724,84.08382353,44.52644334,8.816176471,7.478198264,65.42058824,18.15088583,208.1514706,102.68947,35.64117647,25.26875999,149.9705882,93.91389385,70.72647059,65.09253777,134.4552129,56.02274858,"South America and the Caribbean,North America",global,LC
Asparagus aethiopicus,24,41.17,18.508333,22.661667,-89.9030555,29.1952445,4.55E+12,200.173913,43.30195479,113.173913,15.12569209,53.73913043,10.21681943,3722.434783,2110.729728,307.173913,28.29656608,88.08695652,68.77692071,219.0869565,65.5167661,211.173913,66.90267842,186.9565217,69.65791625,245.7391304,28.78165039,151.2173913,64.68522138,928.2173913,434.7307376,154.0434783,70.47274022,26.26086957,23.90172567,66,24.15103988,419.173913,182.9787996,92.26086957,77.99196776,289.5652174,216.3048829,168.6521739,61.00790463,126.4166667,72.4346282,"Africa,Europe,Australia,NA,South America and the Caribbean,North America",global,LC
Aster subulatus,1283,47.003889,16.131945,30.871944,-99.509167,28.371667,9.05E+12,171.8704137,38.0447977,139.9359875,23.13386234,52.48711944,13.42630457,4754.300546,2837.313018,311.9000781,38.73523116,31.67915691,65.08037779,280.2209212,77.29726749,188.1233411,61.31919887,152.1959407,78.45336901,230.3770492,39.40963641,108.9133489,62.97518969,812.275566,486.5308522,149.7626854,88.90460942,17.93364559,22.85845303,72.57220921,26.42873038,392.8040593,231.9664305,65.12490242,77.16406029,238.8790008,172.9628714,122.0335675,109.6852797,140.0779423,61.38190344,"Africa,Asia,Europe,NA,Australia,South America and the Caribbean,North America",global,LC
Astragalus calycosus,283,44.398594,34.034892,10.363702,-114.36,38.3431,7.85E+11,71.08833922,35.17215974,157.8763251,17.14091279,40.8975265,2.580634556,7726.109541,947.2150025,283.0282686,47.61487691,-99.53003534,29.93719754,382.5583039,43.30551977,64.03886926,87.7905424,101.7561837,72.37074996,173.6183746,41.80954727,-23.51590106,31.11478853,329.7349823,99.04485558,42.61484099,16.08212717,14.74558304,5.858158516,29.30035336,12.55957011,113.5547703,42.86610777,54.89045936,17.3161676,72.88339223,22.15060891,95.44876325,47.82711207,119.0848057,50.12664686,North America,endemic,LC
Astragalus cobrensis,10,34.437428,31.347,3.090428,-108.7418,32.88555,43839251851,113,25.29382885,179.3,20.2377535,48.9,2.766867463,6785.3,380.7635749,300.4,31.01325881,-59.8,20.91145353,360.2,24.59358543,194.8,27.11621081,145,29.26886856,202.1,27.79068589,29,21.81233087,490.9,139.514595,90.2,18.96663738,10.4,3.405877273,62.1,9.723396754,228.8,43.70812281,43.1,13.3204104,192.5,39.00783397,114.9,52.74350934,122.3,24.87770086,North America,endemic,LC
Astragalus coltonii,91,41.16,36.53156,4.62844,-109.43,38.617916,1.24E+11,80.30769231,23.65008448,151.9450549,9.912240062,36.83516484,1.543903683,8750.516484,459.4799563,298.1978022,29.44230508,-109.2197802,19.76461608,407.4175824,20.76539104,146.2747253,53.6005941,74.23076923,75.13307852,194.4065934,26.80546297,-31.40659341,20.03107476,335.021978,93.12989471,37.73626374,9.222960678,15.75824176,5.273288368,21.85714286,5.250547968,104.5384615,25.12250328,62.45054945,19.46978499,84.97802198,21.24773349,77.46153846,26.9960111,134.2747253,50.02511945,North America,endemic,LC
Astragalus crassicarpus,573,51.943557,29.568338,22.375219,-97.78501,38.92058,3.47E+12,105.5078534,40.85688853,139.3054101,16.47373165,33.63176265,4.593873603,9412.024433,1229.374989,311.6317627,29.2310336,-98.78359511,50.2829262,410.4153578,34.7663315,189.417103,42.43216125,-11.2530541,54.48712408,224.3682373,36.18313225,-18.88307155,49.42256014,695.6369983,267.8854928,101.4991274,29.1705034,23.01745201,15.17922217,47.11343805,14.3750723,267.609075,74.59654223,81.39267016,55.09604851,238.5706806,69.91388794,82.23036649,55.82195084,141.4118674,31.53471833,North America,endemic,LC
Astragalus crotalariae,219,36.8521,32.6631,4.189,-115.9427,33.2087,1.30E+11,219.0593607,16.76117022,171.5159817,4.957014335,46.41552511,1.460782772,7059.406393,375.429655,409.7077626,16.76487383,44.15068493,10.36092416,365.5570776,10.98540243,147.2283105,28.6180626,256.56621,15.6128314,310.0639269,18.61082661,131.5022831,13.38915569,114.5890411,82.69777555,19.86757991,15.29903154,0.232876712,0.739213839,58.8630137,7.972973387,53.11872146,43.95310852,5.511415525,4.834281946,19.12328767,9.137499917,49.73515982,39.89680722,115.8447489,115.5603167,North America,endemic,LC
Astragalus didymocarpus,740,39.20091747,29.53,9.670917471,-117.587215,34.7822,4.38E+11,165.803523,23.7394413,149.8224932,17.67587516,46.20460705,5.623186195,6247.150407,1403.802711,344.9837398,40.73390176,19.83197832,22.9560126,325.1517615,49.5213316,112.0135501,56.33127765,224.8915989,26.54606932,248.8211382,33.51397348,90.78319783,23.67381551,286.7628726,150.4171563,53.74254743,30.7052138,1.254742547,1.101441267,72.61246612,16.24110926,148.2547425,88.1619186,9.433604336,6.361694923,19.68428184,15.76168506,140.9349593,85.07416254,129.4121622,80.09540396,"North America,South America and the Caribbean,NA",global,LC
Astragalus ensiformis,30,37.3594,35.158706,2.200694,-113.5475,36.82,25056620334,126.9,12.56527783,157.1333333,4.224177809,41.03333333,1.129031728,7875.033333,256.5743131,334.2,13.78504937,-43.7,12.7689008,377.9,10.20936014,80,77.52241055,158.7,13.56249901,231.2666667,13.86121688,30.6,12.27444781,333.7666667,49.21499865,43.26666667,5.394335045,9.166666667,1.7436255,32.43333333,2.416656758,112.3666667,15.8342347,47.96666667,8.560064991,77.33333333,12.11249948,98,16.1650965,118.6,44.03337292,North America,endemic,LC
Astragalus flexuosus,264,53.534301,32.848,20.686301,-105.4889625,40.464116,2.75E+12,63.26515152,30.27437518,153.2386364,16.91760011,37.31439394,5.925040406,8890.136364,1611.697614,278.1401515,32.69898514,-132.1969697,41.87332688,410.3371212,39.98264815,150.7083333,42.73752866,-25.03030303,74.13757014,177.8674242,32.05095514,-50.65909091,43.18310639,421.6704545,103.479987,65.72727273,19.66916133,15.125,6.662669112,45.70833333,16.45116539,172.5606061,51.27755794,53.25378788,22.99875978,154.3901515,45.14786919,60.28787879,43.48830188,145.2765152,32.73146963,North America,endemic,LC
Astragalus geyeri,118,47.6232,36.13273,11.49047,-115.9217,40.385,1.21E+12,106.4322034,34.15311897,167.1610169,12.50638834,39.51694915,3.145293733,8631.991525,992.0502942,337.1864407,28.30540076,-81.77118644,47.34171306,418.9576271,35.45826825,97.94067797,62.62004436,122.8813559,118.6235999,219.2966102,34.28919476,-3.440677966,40.97936574,204.2372881,54.51756997,26.23728814,10.4257062,7.983050847,3.229095957,30.66949153,11.08556857,71.11016949,26.63452675,30.59322034,9.354588698,43.59322034,15.85362386,53.33050847,27.67548673,148.9067797,40.0591416,North America,endemic,LC
Astragalus harrisonii,9,38.2919,37.467661,0.824239,-111.24,37.795,1735817521,111.2222222,7.902179727,150.5555556,2.743679606,36.11111111,0.78173596,8912.888889,265.4992676,327.6666667,10.89724736,-82.66666667,5.522680509,410.3333333,10.33198916,218.7777778,10.21980648,82.77777778,82.39960221,227.1111111,10.69397546,-2.666666667,4.387482194,191.5555556,22.52837717,28.66666667,3.201562119,8.222222222,0.666666667,34.44444444,3.004626063,72.33333333,6.422616289,30.33333333,4.663689527,60.33333333,5.385164807,35.11111111,10.72898463,154.5555556,13.05862848,North America,endemic,NT
Astragalus inyoensis,60,37.5,36.2675,1.2325,-118.1514,37.256785,24099446508,78.73333333,26.63683359,147.85,10.48133935,42.13333333,1.032795559,6955.316667,476.6461037,271.9833333,35.46327375,-75.28333333,18.65484139,347.2666667,23.80490383,-0.75,23.89924118,142.6166667,34.7753525,172.3166667,31.34417561,-3.9,20.24485706,262.0666667,69.39151188,40.13333333,12.78036983,9.333333333,2.562220083,43.51666667,9.682224963,106.9666667,33.70005616,36.11666667,8.90456304,38.96666667,10.80954799,106.4833333,32.93161464,134.3833333,78.28914068,North America,endemic,NT
Astragalus lentiginosus,2808,50.9,21.991667,28.908333,-116.92483,36.223995,3.36E+12,120.2476835,55.77560357,155.3325018,16.97244045,42.35602281,3.801741472,7324.217035,1003.775137,321.9376336,57.71586338,-42.04953671,53.76545788,363.9871703,40.37187006,80.06949394,89.25964339,170.971846,72.26433152,217.1863863,58.17801534,30.96044191,55.22363095,300.2309337,179.0329463,46.25053457,32.31443596,7.018888097,6.20826885,48.57982894,20.58344712,125.8047042,92.28778321,30.68175339,20.88690202,45.65538133,28.88716603,115.2619387,92.03706623,131.2802707,61.85355801,"North America,South America and the Caribbean",global,LC
Astragalus leucolobus,157,40.399858,33.52143,6.878428,-116.8479,34.262,3.35E+11,83.98726115,18.44603608,153.1528662,12.77174646,47.15923567,2.023925971,6054.745223,386.6009157,263.4713376,22.77581953,-57.54140127,19.73234051,321.0127389,20.65652789,22.82802548,28.15870279,140.5987261,28.60021962,165.3821656,19.78588432,14.51592357,18.42121307,640.8216561,96.86803759,110.9299363,19.82361796,4.222929936,3.36383238,71.43949045,8.761320574,316.3503185,55.96494625,39.45859873,12.50563486,52.45859873,16.1310699,310.0636943,55.27932352,73.43312102,49.48326237,North America,endemic,VU
Astragalus miser,485,56.833333,37.0268,19.806533,-112.37,44.4328,1.73E+12,34.70103093,25.75117944,141.0123711,21.36537352,36.60206186,3.712330898,8119.647423,593.6857189,241.7752577,33.47691023,-136.956701,29.44086701,378.7319588,31.88069037,41.88865979,84.57631387,17.15463918,77.41112475,139.971134,29.07498129,-67.51752577,22.5620861,470.7134021,136.4212391,58.83505155,17.01717679,24.66597938,9.126282165,27.0185567,11.5880418,157.6329897,46.80062937,85.05773196,30.55081066,124.9319588,34.55205543,117.371134,57.69399893,133.8041237,54.0339347,North America,endemic,LC
Astragalus mollissimus,584,42.92282,18.028056,24.894764,-101.87088,36.639915,3.06E+12,127.3270548,32.90202026,160.8715753,13.31202065,47.70034247,13.67765138,6737.292808,3131.582333,308.6232877,38.80339509,-48.26369863,60.62687659,356.8869863,85.44827351,189.6113014,43.09248034,68.77910959,74.95220324,213.0582192,36.7353901,39.73972603,62.63267138,461.7311644,216.0832093,81.43835616,43.96700347,9.849315068,5.62778267,60.38356164,21.59831652,218.3030822,121.5509222,37.15239726,19.60586938,173.1986301,71.31611264,43.80650685,26.06191122,136.765411,27.58920854,"North America,South America and the Caribbean",global,LC
Astragalus molybdenus,24,43.79,38.7536,5.0364,-108.6619305,41.006273,62751475660,-20.25,12.73219131,139.5416667,10.94642752,37.70833333,0.999093792,7876.166667,314.5809727,178.5833333,25.11697272,-186.5833333,9.011667156,365.1666667,21.51777156,-53.41666667,75.5207525,22.41666667,46.7834202,82.91666667,15.35639413,-115.2083333,8.787239596,676.9166667,88.71788049,74.04166667,10.23412521,40.625,6.11350963,17.91666667,5.770364066,201.1666667,24.96722489,139.2916667,22.04438047,167.25,32.8411857,184.2083333,32.7480224,99.20833333,37.38632529,North America,endemic,LC
Astragalus nuttallianus,562,40.835214,18.451667,22.383547,-113.633903,34.7048835,4.16E+12,167.0017825,34.81181548,152.2923351,19.23640787,42.82352941,7.175544953,7313.515152,1498.363097,354.1746881,33.84626168,-2.172905526,45.8561849,356.3475936,45.6518506,175.2602496,83.85721286,171.6702317,66.68816013,261.8912656,33.96269927,75.18894831,44.47161959,321.1354724,214.3905303,52.64705882,36.41232419,8.158645276,10.88551467,50.39928699,18.99701855,130.1871658,87.80513477,35.45276292,36.88812716,96.81639929,75.79467199,71.96969697,38.88633815,135.6530249,65.11223465,"North America,South America and the Caribbean",global,LC
Astragalus oophorus,242,40.44988,34.083333,6.366547,-117.066435,37.660972,5.55E+11,73.3677686,28.74860766,155.7479339,17.99165597,41.66942149,2.238436138,7431.636364,869.4913666,277.9504132,40.60289449,-91.92975207,29.32376189,369.8801653,42.30827023,35.49173554,69.51290168,107.9586777,64.69877816,172.2190083,35.29057757,-16.78099174,25.11941543,339.9297521,88.26675445,44.48760331,14.33743653,13.7892562,5.369443308,32.28512397,14.04369684,119.838843,38.61646258,54.80578512,17.59194835,68.69008264,24.88177491,108.6652893,42.66349506,118.322314,55.14021582,North America,endemic,LC
Astragalus pachypus,161,36.5969,33.05244,3.54446,-118.08806,34.767,93957732073,148.2857143,26.36224302,145.3975155,19.31394558,44.93167702,3.629952175,6238.465839,806.0305828,328.6086957,38.8302675,8.670807453,17.82581569,319.9378882,35.53250087,83.30434783,24.95021129,221.8198758,28.74606238,232.484472,30.26468767,75.57763975,22.77131961,369.826087,163.0236779,68.88198758,31.49848784,1.614906832,0.915574354,79.30434783,6.815463556,193.3726708,87.36352356,10.62732919,5.866024927,18.66459627,10.50651233,185.5403727,86.61083894,102.621118,80.05263457,North America,endemic,LC
Astragalus piutensis,34,39.78,37.5,2.28,-113.4493,38.42405,51490057795,65.47058824,22.82772808,168.7352941,9.452621325,41.58823529,1.281988206,7963.470588,375.0261595,286.1764706,28.3596711,-115,19.43598662,401.1764706,18.08141619,60.91176471,77.04165251,80.29411765,70.57406572,171.5882353,26.37620329,-31.82352941,18.95364455,375.5882353,85.46206589,43.14705882,9.509587994,19.29411765,5.921350234,19.52941176,4.106427291,112.3823529,23.75125477,77.70588235,20.301559,91.58823529,18.57192023,89.26470588,27.97434845,114.1470588,42.74457779,North America,endemic,LC
Astragalus pubentissimus,48,45.695576,38.9,6.795576,-109.67445,40.02375,1.37E+11,69.29166667,23.1709267,159.9583333,11.66000316,35.97916667,1.494523098,9447.75,740.2134396,301.6666667,32.0739394,-136.75,17.21639496,438.4166667,32.76793537,132.2916667,41.20057753,-40.64583333,42.52032785,190.4375,28.93125105,-54.22916667,16.77541208,272.6875,79.76698945,32.70833333,10.67101529,14.77083333,5.721328455,23.91666667,8.333049641,88.83333333,27.39027109,49.41666667,19.04399535,73.83333333,21.72001071,49.70833333,19.89649636,136.4791667,25.10487753,North America,endemic,LC
