Species,n.gps,abs_max_lat,abs_min_lat,length_lat,median_lon,median_lat,area,bio1m,bio1sd,bio2m,bio2sd,bio3m,bio3sd,bio4m,bio4sd,bio5m,bio5sd,bio6m,bio6sd,bio7m,bio7sd,bio8m,bio8sd,bio9m,bio9sd,bio10m,bio10sd,bio11m,bio11sd,bio12m,bio12sd,bio13m,bio13sd,bio14m,bio14sd,bio15m,bio15sd,bio16m,bio16sd,bio17m,bio17sd,bio18m,bio18sd,bio19m,bio19sd,elevm,elevsd,continents,dist,Red.List.status
Cyperus dentatus,146,46.8925,30.68333,16.20917,-72.02855,41.9293,1.48E+12,85.70344828,19.79657804,106.9517241,15.04037669,29.48275862,2.236389229,8712.041379,979.8914826,264.6344828,27.08187529,-91.63448276,32.06434802,356.2689655,41.43070774,69.53793103,72.92576331,69.48275862,101.7429429,195.0551724,21.28307208,-29.71034483,27.65434395,1174.193103,106.8677334,117.6344828,14.3109388,80.00689655,9.871744577,11.13793103,4.463775012,332.4758621,42.36532301,257.5931034,29.90714717,282.8068966,24.8448789,291.937931,51.90940568,148.4657534,80.33895129,"North America,NA",global,LC
Cyperus drummondii,6,31.2081,29.885278,1.322822,-90.085694,30.7530555,47697250324,193.8333333,3.763863264,120.3333333,13.70644617,41.16666667,2.994439291,6260.166667,119.2483403,330,4.898979486,41.33333333,8.687155269,288.6666667,12.24200419,242.8333333,60.68745065,177.3333333,21.75009579,269.8333333,3.250640962,109.5,4.324349662,1472.166667,124.3662602,165.5,10.93160555,82.16666667,21.07526196,18.83333333,4.308905507,443.8333333,32.35068263,288,50.46979295,436.6666667,36.5221394,375.8333333,34.82767099,133,0,"South America and the Caribbean,North America",global,LC
Cyperus eragrostis,739,49.261667,18.068056,31.193611,-120.62667,36.905,7.54E+12,155.3677069,19.5454929,138.4192673,19.89112507,49.69335142,5.217119789,4992.080054,1294.654096,311.0542741,38.86168738,31.81682497,22.29423642,279.2374491,51.31289151,99.59565807,29.90949905,215.7476255,26.80305229,221.183175,25.92317956,94.8358209,25.2848214,608.2985075,348.0229689,118.6472185,64.58841552,2.738127544,6.039550198,83.05970149,9.001764104,318.5603799,171.4864029,15.65807327,23.20758855,21.87381275,31.13638618,308.0556309,169.5164587,124.3301759,89.37598664,"Africa,Europe,Asia,Australia,NA,North America,South America and the Caribbean",global,LC
Cyperus grayi,31,42.88722,31.690346,11.196874,-73.06027,41.22222,1.29E+11,109.9655172,21.60106274,106.6206897,9.119891106,30.68965517,2.867346313,8372.586207,522.4655503,283.4137931,16.58208422,-58.93103448,26.17650396,342.3448276,16.18260941,115.3793103,83.61878369,80.96551724,92.3574124,216,15.91719645,0.275862069,27.75002774,1163.344828,44.82368304,115.5172414,11.63314443,80.34482759,5.556693917,10.79310345,4.538559482,326.4482759,28.66255173,262.7241379,15.54922265,292.137931,40.51606748,280.4482759,20.24596293,165.1935484,63.40474186,"North America,NA",global,LC
Cyperus imbricatus,58,23.246389,16.838611,6.407778,-96.505,18.727903,4.85E+11,225.5862069,46.28137986,125.7931034,29.67825042,62.9137931,4.193915738,2107.586207,350.2699227,323.1206897,36.96611895,125.7931034,62.56077988,197.3275862,38.6156899,238.8275862,45.46297431,217.9655172,51.77073803,248.5862069,45.51924,195.7758621,46.86338604,1462.689655,744.234947,282.5344828,115.3937904,25.46551724,23.68967168,80.36206897,21.19061218,737.1551724,300.0095789,93.22413793,83.6408452,385.8103448,153.3106532,166.8103448,161.3620161,142.0344828,56.38650004,"Africa,Asia,Australia,South America and the Caribbean,NA",global,LC
Cyperus laevigatus,175,36.9087,18.113806,18.794894,-107.104306,25.85,1.59E+12,182.3828571,27.07305448,161.1428571,13.67971663,57.76,10.08182614,4189.011429,2289.135805,327.2057143,53.37874832,41.32,29.07739178,285.8857143,60.13967049,178.04,57.10560493,189.6,49.72279479,235.4571429,50.61355894,128.9257143,27.69746599,434.4971429,295.8921999,94.30285714,69.17232141,3.68,4.486300988,80.90285714,19.18083163,249.6114286,184.0259161,15.93142857,15.15156703,138.7314286,126.2718828,61.57714286,61.62505781,138.9314286,65.60019875,"Europe,Africa,NA,Asia,Australia,South America and the Caribbean,North America",global,LC
Cyperus rotundus,399,41.5161,14.8875,26.6286,-98.908333,21.78167,7.34E+12,217.3308081,40.60858749,133.9141414,26.90475845,56.20707071,10.16758565,3710.992424,2000.837476,337.469697,32.71010514,94.06818182,62.20088239,243.4015152,62.95514093,227.4166667,64.46650097,211.4191919,49.76619803,261.7979798,34.4816164,167.7929293,57.38290268,1007.078283,619.6688919,198.1792929,110.6491121,20.65656566,25.91765406,79.31565657,29.10459283,506.5883838,287.1464404,75.29292929,90.30250176,291.530303,182.5229976,142.5126263,132.7932907,148.0426065,71.12382641,"Africa,NA,Europe,Asia,Australia,South America and the Caribbean,North America",global,LC
Cyperus squarrosus,951,50.716667,15.959739,34.756928,-104.216667,38.21404876,1.07E+13,134.5679663,51.66788687,137.9694415,20.79643434,42.83772392,11.84254156,6898.848261,2565.158083,310.9546891,33.66697557,-24.18124341,78.6856081,335.1359326,70.79382217,138.8366702,90.51905926,122.4077977,107.1543564,222.2550053,37.62313523,45.74077977,78.26689591,780.7175975,338.8671844,123.0579557,55.35718132,21.55216017,25.5091749,57.99051633,29.02401368,333.0642782,148.2476584,79.50684932,81.57561793,178.8134879,129.9489757,203.8303477,162.7587446,132.8759201,68.64061525,"Africa,NA,Asia,Australia,South America and the Caribbean,North America",global,LC
Cyperus strigosus,737,49.262222,22.71,26.552222,-90.81666,39.07811,9.46E+12,126.9633152,32.55371301,123.4646739,14.30860459,34.22282609,6.30791065,8408.60462,1563.336054,310.3668478,27.17273922,-51.54891304,51.57798717,361.9157609,46.32650726,156.2730978,72.50837256,69.45652174,106.4230974,232.3586957,24.18019948,15.34103261,49.97361754,1025.95788,255.2070886,126.0394022,36.51826227,48.14945652,29.05307271,32.17255435,24.2006658,345.9714674,96.44222408,165.7758152,91.88602826,260.7024457,114.5599438,236.6630435,129.9256116,143.302578,64.70255443,"NA,Asia,North America,South America and the Caribbean",global,LC
Cypripedium arietinum,40,61.392016,43,18.392016,-81.5623725,45.5855835,2.06E+12,42.075,32.18726257,109.375,12.10993976,25.075,2.692701436,10976.825,1533.338003,252.9,18.38589203,-176.55,58.70917021,429.45,51.47962007,137.05,72.45084983,-78.6,65.57743514,176.45,18.08094336,-106.325,51.42950739,812.15,204.3178206,93.675,14.63467519,43.725,20.26616164,26.875,15.59287724,262.925,41.56760789,144.25,58.74924986,252.625,46.42981331,160.8,72.57717378,152.525,75.74179739,"North America,NA",global,NT
