Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,dispStage,selfOut,dispersion,trophicLevel,maxSize
Alnus rubra,-123.0669,44.0509,116,5081,275,14,261,1209,66,76,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.6835,38.972,118,2363,205,37,168,1045,83,19,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.15,40.2,84,5491,269,65501,304,1295,79,37,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.8966,41.8498,102,4493,254,0,254,1809,77,57,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.8965714,41.85045406,102,4493,254,0,254,1809,77,57,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9619,38.0784,127,2601,225,43,182,982,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.96191,38.07841,127,2601,225,43,182,982,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8936,38.1324,130,2984,240,38,202,949,89,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8943,38.1325,130,2984,240,38,202,949,89,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8930134,38.13260952,130,2984,240,38,202,949,89,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.33083,47.72219,106,4737,229,15,214,974,51,102,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.92619,38.17552,129,2978,240,37,203,982,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.6058,42.075,72,6283,269,65473,332,694,62,52,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.96833,41.84556,111,3884,240,17,223,2062,76,64,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.9553,41.8418,108,4181,249,10,239,1966,77,60,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.109,43.9835,105,5015,264,1,263,1332,64,85,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.33083,47.60639,109,4854,236,16,220,986,55,93,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.4099,39.4171,115,4638,287,65533,290,1334,85,20,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.7984701,39.30719787,113,2451,204,34,170,1032,80,21,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.7912,39.3028,111,2662,211,29,182,1114,81,22,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.7984301,39.30719787,113,2451,204,34,170,1032,80,21,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.2156,40.623,117,2249,191,48,143,1307,79,31,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.212,40.6365,116,2203,188,48,140,1284,78,32,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.848,38.0935,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8504919,38.09527068,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8464,38.0926,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-128.6,54.517,63,7273,220,65470,286,1444,52,158,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.95806,47.23306,95,4179,212,7,205,2863,60,202,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8978,38.1089,128,2991,235,38,197,1028,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.2082,40.6427,115,2417,193,43,150,1312,78,33,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8501119,38.09514068,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.772,40.8968,96,4750,258,65524,270,1500,76,45,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.13333,41.05,112,2566,197,37,160,1382,73,45,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.638,39.1572,115,2956,225,26,199,1141,83,19,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.984,41.8199,103,4131,241,6,235,1902,76,60,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.9101,41.6884,111,4149,249,12,237,1935,77,58,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.2903,40.3172,112,2589,198,39,159,1874,83,32,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.2857963,40.32485486,112,2589,198,39,159,1874,83,32,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1234,41.1626,113,2695,203,35,168,1451,74,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.11,41.1593,113,2695,203,35,168,1451,74,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1175,41.1605,113,2695,203,35,168,1451,74,48,Plant,embryo,outcrosser,wind,primary,25000
